"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1";"C_0402_1005Metric";1;"1p1";;;
2;"C2";"C_0402_1005Metric";1;"1p3";;;
3;"C3";"C_0402_1005Metric";1;"330p";;;
4;"C4";"C_0402_1005Metric";1;"47p";;;
5;"C5";"C_0402_1005Metric";1;"100p";;;
6;"C6";"C_0805_2012Metric";1;"1u";;;
7;"C7, C8, C9, C20, C21, C24, C25";"C_0402_1005Metric";7;"10n";;;
8;"C10, C11, C12, C13";"C_0805_2012Metric";4;"4u7";;;
9;"C14, C15";"CP_EIA-3528-21_Kemet-B";2;"22u";;;
10;"C16, C17";"C_0603_1608Metric";2;"100n";;;
11;"C18, C19, C22, C23";"CAPC0816X55N";4;"100n";;;
12;"D1";"SOT-23";1;"BAT54";;;
13;"J1, J2, J3";"SolderWirePad_1x01_SMD_1x2mm";3;"Conn_01x01";;;
14;"J4";"SolderWire-0.25sqmm_1x02_P4.2mm_D0.65mm_OD1.7mm";1;"Conn_01x02";;;
15;"J6";"LINX_CONSMA001-SMD-G-T";1;"Out";;;
16;"R1";"R_0402_1005Metric";1;"100R";;;
17;"R2";"R_0402_1005Metric";1;"1M60";;;
18;"R3";"R_0402_1005Metric";1;"422k";;;
19;"R4";"R_0402_1005Metric";1;"1M91";;;
20;"R5";"R_0402_1005Metric";1;"68";;;
21;"R6";"R_0402_1005Metric";1;"66K5";;;
22;"R7";"R_0402_1005Metric";1;"10M0";;;
23;"R8";"R_0402_1005Metric";1;"5k60";;;
24;"R9";"R_0402_1005Metric";1;"17k8";;;
25;"R10";"R_0402_1005Metric";1;"10k0";;;
26;"R11";"R_0402_1005Metric";1;"51k0";;;
27;"R12, R13";"R_0402_1005Metric";2;"1k";;;
28;"R14";"R_0402_1005Metric";1;"49R9";;;
29;"R15";"R_0402_1005Metric";1;"41k2";;;
30;"R16";"R_0402_1005Metric";1;"10k2";;;
31;"R17";"R_0402_1005Metric";1;"18k";;;
32;"R18";"R_0402_1005Metric";1;"91k";;;
33;"RV1";"TRIM_PVG3A";1;"1k";;;
34;"U1";"VQFN-16-1EP_3x3mm_P0.5mm_EP1.68x1.68mm";1;"BUF802";;;
35;"U2";"SOIC-8_3.9x4.9mm_P1.27mm";1;"OPA140";;;
36;"U3";"Texas_DSC0010J_ThermalVias";1;"TPS7A39";;;
37;"U4";"MSOP-12-1EP_3x4.039mm_P0.65mm_EP1.651x2.845mm_ThermalVias";1;"LTC3261";;;
